type,cities_count,id,name,slug,parent
2,,1804,بافت,baft,877
2,,1829,بافق,bafq,886
4,,4290,باقرآباد,baqeraabad,1761
2,,1707,باقرشهر,baghershahr,904
4,,1206,بالا خیابان,kuy-e-bala-khiaban,3
4,,1364,بالا کفت,bala-kaft,6
4,,2165,بالاکویه,balakuyh,12
2,,2953,بالا ولایت,bala-velayat,880
4,,3362,بالا ولایت,bala-velayat-torbat-heydariyeh,1776
2,,2718,بانش,banesh,898
4,,2454,بانک استان,bank-ostan,1744
2,,662,بانه,baneh,885
4,,2269,باهنر,bahonar-kashan,30
4,,1261,باهنر,shahrak-bahonar,6
4,,2172,باهنر,bahonar-rasht,12
4,,3192,باهنر,bahonar-sabzevar,316
4,,2563,باهنر,bahonar-najaf-abad,31
2,,3728,باهوکلات,bahukalat,883
2,,3878,باوله,bavaleh,905
2,,3399,باوی,bavi,902
2,,2954,بایک,bayk,880
2,,3870,باینگان,bayengan,905
2,,2955,بجستان,bajestan,880
2,,39,بجنورد,bojnurd,896
2,,2719,بختگان,bakhtagan,898
4,,4543,بختیاردشت (شهرک پرتو),bakhtiyardasht-shahrak-parto,4
2,,3602,بدره,badreh,888
4,,2426,براآن شمالی,baraan-shomali,4
2,,778,برازجان,borazjan,900
4,,1444,برازنده,barazandeh,4
4,,2646,براسون,barasun,8
2,,3576,بران,baran,906
2,,3925,بربرود,barbarud,884
2,,2201,برخوار,barkhaar,890
4,,2475,برخوار غرب,borkhar-gharb,1744
2,,3622,بردخون,bardkhun,900
2,,1735,بردسکن,bardaskan,880
2,,1805,بردسیر,bardsir,877
2,,2956,بررود,barrud,880
4,,2399,برزان,barzan,4
2,,2217,برزک,barzak,890
4,,1105,برغان,Baraghan,2
4,,1438,برلیان,berelian,4
4,,2864,برمشور علیا,barmshoor-olya,6
2,,1854,بره‌سر,barah-sar,889
2,,26,بروجرد,borujerd,884
4,,1023,بروجردی,shahid-borujerdi,1
2,,785,بروجن,boroujen,903
4,,197,بریانک,beryanak,1
4,,1388,بریجستون,berijestoon,6
4,,380,بزرگمهر,bozorgmehr,4
4,,3114,بزرگمهر,bozorgmehr-nishabur,318
2,,3729,بزمان,bazman,883
2,,3704,بزینه رود,bazineh-rud,879
2,,3527,بستان آباد,bostan-abad,891
2,,3958,بستک,bastak,894
2,,3719,بسطام,bastam,882
4,,3285,بسیجیان,basijian,791
2,,3789,بشاریات,bashayaat,878
2,,3972,بشاگرد,bashagard,894
2,,3661,بشروئیه,boshruuye,876
4,,2038,بشمن,beshman,708
4,,3483,بعثت,baesat,7
4,,555,بعثت,besat,6
2,,4007,بفروئیه,bafrooyeh,886
4,,2595,بقیع,bqii,8
4,,3327,بکاول,bakavel,318
4,,2656,بکایی,bekaee,8
2,,3547,بکتاش,bektash,881
4,,4264,بکه,bake,1759
4,,1180,بلال,balal,3
2,,3811,بلبان آباد,balban-abad,885
2,,3653,بلداجی,boldaji,903
2,,1873,بلده,baladeh,893
4,,608,بلوار امین و ساحلی,amin,8
4,,208,بلوار کشاورز,bolvar-e-keshavarz,1
4,,3117,بلوار گلها,bolvar-golha,318
4,,1892,بلوار گیلان,gilan-blvd,12
2,,3834,بلورد,balvard,877
4,,1007,بلورسازی,bolursazi,1
2,,1807,بلوک,boluk,877
2,,815,بم,bam,877
2,,3970,بمانی,bemani,894
2,,3730,بم پشت,bam-posht,883
2,,3731,بمپور,bampur,883
2,,3646,بن,bon,903
2,,760,بناب,bonab,891
2,,2709,بنارویه,banaruyeh,898
2,,3732,بنت,bent,883
2,,798,بندر امام خمینی,bandar-Imam-khomeini,902
2,,708,بندر انزلی,bandar-anzali,889
2,,751,بندر ترکمن,bandar-torkaman,897
2,,1756,بندر دیر,dayyer,900
2,,18,بندرعباس,bandar-abbas,894
2,,779,بندر کنگان,bandar-kangan,900
2,,1973,بندر گز,bandar-gaz,897
2,,780,بندر گناوه,bandar-ganaveh,900
2,,3956,بندرلنگه,bandar-lengeh,894
2,,37,بندر ماهشهر,mahshahr,902
2,,3962,بند زرک,band-zarak,894
4,,3487,بنکداری,bonakdari,7
4,,1058,بنیاد,350-metri,2
4,,604,بنیاد,bonyad,8
4,,2443,بنیاد ازدواج,bonyad-ezdevaj,1744
4,,3136,بنیاد شهید,bonyad-shahid,318
4,,128,بنی‌هاشم,kazem-abad,1
2,,4008,بهاباد,bahaabaad,886
4,,1104,بهار,bahar-karaj,2
4,,3366,بهار,bahar-mashhad,3
2,,1828,بهار,bahar-city,899
4,,938,بهار,bahar,1
4,,1600,بهار آزادی,bahar-azadi,4
4,,154,بهاران,baharan,1
4,,1482,بهاران,baharan-isfahan,4
4,,1139,بهاران,baharan-mashhad,3
4,,2398,بهارانچی,baharanchi,4
4,,334,بهارستان,baharestan-ahvaz,7
4,,382,بهارستان,baharestan-esfahan,4
4,,92,بهارستان,baharestan,1
4,,2788,بهارستان,baharestan-shiraz,6
2,,4035,بهارستان,baharestan-city,904
4,,2841,بهارستان,baharestan-marvdasht,1788
4,,3054,بهارستان,baharestan-arghavaan,3
